Match,Team_Name,Player_Name,Minute,Type_Of_Goal
10446,Sampdoria,Riccardo Saponara,21,Normal
10492,Sampdoria,Riccardo Saponara,90+9,Normal
10286,Sampdoria,Fabio Quagliarella,26,Penalty
10374,Sampdoria,Fabio Quagliarella,34,Normal
10419,Sampdoria,Fabio Quagliarella,11,Penalty
10119,Sampdoria,Fabio Quagliarella,11,Normal
10119,Sampdoria,Fabio Quagliarella,19,Normal
10146,Sampdoria,Fabio Quagliarella,27,Penalty
10055,Sampdoria,Fabio Quagliarella,38,Normal
10055,Sampdoria,Fabio Quagliarella,54,Normal
10216,Sampdoria,Fabio Quagliarella,85,Penalty
10335,Sampdoria,Fabio Quagliarella,26,Normal
10080,Sampdoria,Fabio Quagliarella,84,Normal
10151,Sampdoria,Fabio Quagliarella,90+2,Penalty
10151,Sampdoria,Fabio Quagliarella,90+4,Normal
10278,Sampdoria,Fabio Quagliarella,45+2,Penalty
10183,Sampdoria,Fabio Quagliarella,30,Normal
10183,Sampdoria,Fabio Quagliarella,60,Normal
10183,Sampdoria,Fabio Quagliarella,68,Normal
10167,Sampdoria,Fabio Quagliarella,35,Penalty
10059,Sampdoria,Fabio Quagliarella,85,Normal
10705,Sampdoria,Fabio Quagliarella,57,Normal
10477,Sampdoria,Fabio Quagliarella,8,Normal
10724,Sampdoria,Fabio Quagliarella,90+2,Penalty
10510,Sampdoria,Fabio Quagliarella,69,Normal
10454,Sampdoria,Fabio Quagliarella,65,Normal
10714,Sampdoria,Fabio Quagliarella,28,Penalty
10714,Sampdoria,Fabio Quagliarella,61,Normal
10602,Sampdoria,Fabio Quagliarella,66,Penalty
10655,Sampdoria,Fabio Quagliarella,75,Normal
10503,Sampdoria,Fabio Quagliarella,69,Normal
10553,Sampdoria,Fabio Quagliarella,81,Penalty
10553,Sampdoria,Fabio Quagliarella,85,Normal
10529,Sampdoria,Fabio Quagliarella,33,Penalty
10446,Sampdoria,Fabio Quagliarella,31,Normal
10630,Sampdoria,Fabio Quagliarella,36,Normal
10522,Sampdoria,Fabio Quagliarella,47,Normal
10623,Sampdoria,Fabio Quagliarella,67,Penalty
10615,Sampdoria,Fabio Quagliarella,4,Normal
10615,Sampdoria,Fabio Quagliarella,11,Normal
10492,Sampdoria,Fabio Quagliarella,21,Normal
10481,Sampdoria,Fabio Quagliarella,25,Normal
10481,Sampdoria,Fabio Quagliarella,68,Normal
10751,Sampdoria,Fabio Quagliarella,10,Normal
10560,Sampdoria,Fabio Quagliarella,33,Penalty
10560,Sampdoria,Fabio Quagliarella,56,Penalty
10683,Sampdoria,Fabio Quagliarella,53,Penalty
10923,Sampdoria,Fabio Quagliarella,67,Penalty
10995,Sampdoria,Fabio Quagliarella,77,Normal
10995,Sampdoria,Fabio Quagliarella,86,Penalty
11082,Sampdoria,Fabio Quagliarella,69,Normal
10961,Sampdoria,Fabio Quagliarella,79,Penalty
11065,Sampdoria,Fabio Quagliarella,45+1,Normal
10868,Sampdoria,Fabio Quagliarella,38,Penalty
10868,Sampdoria,Fabio Quagliarella,70,Normal
10958,Sampdoria,Fabio Quagliarella,26,Normal
10915,Sampdoria,Fabio Quagliarella,69,Penalty
10915,Sampdoria,Fabio Quagliarella,90+2,Normal
11510,Sampdoria,Fabio Quagliarella,32,Normal
11409,Sampdoria,Fabio Quagliarella,42,Penalty
11242,Sampdoria,Fabio Quagliarella,55,Normal
11442,Sampdoria,Fabio Quagliarella,53,Normal
11300,Sampdoria,Fabio Quagliarella,8,Normal
11230,Sampdoria,Fabio Quagliarella,65,Normal
11384,Sampdoria,Fabio Quagliarella,37,Normal
11334,Sampdoria,Fabio Quagliarella,71,Normal
11399,Sampdoria,Fabio Quagliarella,57,Normal
11567,Sampdoria,Fabio Quagliarella,63,Normal
11495,Sampdoria,Fabio Quagliarella,88,Penalty
11520,Sampdoria,Fabio Quagliarella,13,Normal
11501,Sampdoria,Fabio Quagliarella,20,Normal
11924,Sampdoria,Fabio Quagliarella,48,Penalty
11877,Sampdoria,Fabio Quagliarella,30,Normal
11750,Sampdoria,Fabio Quagliarella,14,Normal
11750,Sampdoria,Fabio Quagliarella,29,Normal
12242,Sampdoria,Fabio Quagliarella,20,Normal
