"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Serie A","2024-01-07","Serie A (Matchweek 19)","Roma","3-5-2",1,2.1,"Paulo Dybala (P) · 39&rsquor;","1","0","Atalanta","3-4-3",1,0.7,"Teun Koopmeiners · 8&rsquor;","6","0","https://fbref.com/en/matches/6d865e81/Roma-Atalanta-January-7-2024-Serie-A","Roma","Home",NA,990,1,0,1,1,15,5,1,0,634,14,10,12,2.1,1.3,0.9,29,2,411,527,78,45,403,18,20,10
"Serie A","2024-01-07","Serie A (Matchweek 19)","Roma","3-5-2",1,2.1,"Paulo Dybala (P) · 39&rsquor;","1","0","Atalanta","3-4-3",1,0.7,"Teun Koopmeiners · 8&rsquor;","6","0","https://fbref.com/en/matches/6d865e81/Roma-Atalanta-January-7-2024-Serie-A","Atalanta","Away",NA,990,1,1,0,0,8,2,6,0,543,22,6,18,0.7,0.7,0.7,16,2,317,415,76.4,35,285,9,11,6
"Serie A","2023-09-28","Serie A (Matchweek 6)","Monza","3-4-3",0,0.7,"","5","0","Bologna","4-2-3-1",0,0.7,"Alexis Saelemaekers · 86&rsquor;","4","1","https://fbref.com/en/matches/9a8e6c44/Monza-Bologna-September-28-2023-Serie-A","Monza","Home",NA,990,0,0,0,0,10,3,5,0,600,12,7,8,0.7,0.7,0.6,18,0,412,505,81.6,32,344,19,14,6
"Serie A","2023-09-28","Serie A (Matchweek 6)","Monza","3-4-3",0,0.7,"","5","0","Bologna","4-2-3-1",0,0.7,"Alexis Saelemaekers · 86&rsquor;","4","1","https://fbref.com/en/matches/9a8e6c44/Monza-Bologna-September-28-2023-Serie-A","Bologna","Away",NA,985,0,0,0,0,8,5,3,1,652,14,9,7,0.7,0.7,0.2,14,0,474,562,84.3,42,446,31,18,9
"Serie A","2024-04-25","Serie A (Matchweek 32)","Udinese","3-4-3",1,0.7,"Roberto Pereyra · 23&rsquor;","3","0","Roma","3-5-1-1",2,1.4,"Romelu Lukaku · 64&rsquor; Bryan Cristante · 90+5&rsquor;","2","0","https://fbref.com/en/matches/bca64d25/Udinese-Roma-April-25-2024-Serie-A","Udinese","Home",NA,990,1,0,0,0,9,3,3,0,412,18,10,18,0.7,0.7,0.4,16,1,202,288,70.1,21,192,13,10,4
"Serie A","2024-04-25","Serie A (Matchweek 32)","Udinese","3-4-3",1,0.7,"Roberto Pereyra · 23&rsquor;","3","0","Roma","3-5-1-1",2,1.4,"Romelu Lukaku · 64&rsquor; Bryan Cristante · 90+5&rsquor;","2","0","https://fbref.com/en/matches/bca64d25/Udinese-Roma-April-25-2024-Serie-A","Roma","Away",NA,897,2,2,0,0,19,5,2,0,825,16,6,7,1.5,1.5,1,27,4,627,733,85.5,63,447,20,15,7
"Serie A","2023-12-10","Serie A (Matchweek 15)","Roma","3-5-2",1,0.7,"Romelu Lukaku · 5&rsquor; Nicola Zalewski · 64&rsquor; Romelu Lukaku · 87&rsquor;","6","2","Fiorentina","4-2-3-1",1,1.5,"Lucas Martínez Quarta · 66&rsquor;","3","0","https://fbref.com/en/matches/ebfc4b5d/Roma-Fiorentina-December-10-2023-Serie-A","Roma","Home",NA,959,1,1,0,0,4,1,5,2,433,18,9,6,0.7,0.7,0.6,8,2,250,338,74,16,194,6,9,4
"Serie A","2023-12-10","Serie A (Matchweek 15)","Roma","3-5-2",1,0.7,"Romelu Lukaku · 5&rsquor; Nicola Zalewski · 64&rsquor; Romelu Lukaku · 87&rsquor;","6","2","Fiorentina","4-2-3-1",1,1.5,"Lucas Martínez Quarta · 66&rsquor;","3","0","https://fbref.com/en/matches/ebfc4b5d/Roma-Fiorentina-December-10-2023-Serie-A","Fiorentina","Away",NA,990,1,1,0,0,14,8,3,0,734,10,3,11,1.5,1.5,1.4,27,2,557,641,86.9,57,476,21,23,11
"Serie A","2023-12-30","Serie A (Matchweek 18)","Cagliari","4-1-2-1-2",0,1.8,"","1","0","Empoli","4-3-1-2",0,0.3,"","3","0","https://fbref.com/en/matches/9baa497e/Cagliari-Empoli-December-30-2023-Serie-A","Cagliari","Home",NA,990,0,0,0,1,13,2,1,0,500,15,9,7,1.8,1,0.9,27,0,263,400,65.8,29,213,16,10,1
"Serie A","2023-12-30","Serie A (Matchweek 18)","Cagliari","4-1-2-1-2",0,1.8,"","1","0","Empoli","4-3-1-2",0,0.3,"","3","0","https://fbref.com/en/matches/9baa497e/Cagliari-Empoli-December-30-2023-Serie-A","Empoli","Away",NA,990,0,0,0,0,5,1,3,0,505,21,7,10,0.3,0.3,0.2,7,0,271,393,69,18,218,10,10,1
"Serie A","2024-02-03","Serie A (Matchweek 23)","Frosinone","4-2-3-1",2,1,"Matìas Soulé (P) · 24&rsquor; Luca Mazzitelli · 65&rsquor;","1","0","Milan","4-2-3-1",3,1.4,"Olivier Giroud · 17&rsquor; Matteo Gabbia · 72&rsquor; Luka Jović · 81&rsquor;","3","0","https://fbref.com/en/matches/14c72d2c/Frosinone-Milan-February-3-2024-Serie-A","Frosinone","Home",NA,990,2,1,1,1,6,3,1,0,510,15,9,15,1,0.2,0.2,12,3,312,407,76.7,27,271,15,15,9
"Serie A","2024-02-03","Serie A (Matchweek 23)","Frosinone","4-2-3-1",2,1,"Matìas Soulé (P) · 24&rsquor; Luca Mazzitelli · 65&rsquor;","1","0","Milan","4-2-3-1",3,1.4,"Olivier Giroud · 17&rsquor; Matteo Gabbia · 72&rsquor; Luka Jović · 81&rsquor;","3","0","https://fbref.com/en/matches/14c72d2c/Frosinone-Milan-February-3-2024-Serie-A","Milan","Away",NA,990,3,2,0,0,13,5,3,0,656,7,7,9,1.4,1.4,1.1,22,5,464,567,81.8,38,455,25,18,7
"Serie A","2023-11-25","Serie A (Matchweek 13)","Milan","4-2-3-1",1,1.8,"Theo Hernández (P) · 45+2&rsquor;","1","0","Fiorentina","4-2-3-1",0,1.8,"","2","0","https://fbref.com/en/matches/875da0ea/Milan-Fiorentina-November-25-2023-Serie-A","Milan","Home",NA,990,1,0,1,1,8,5,1,0,538,24,5,21,1.8,1,1,15,2,314,406,77.3,30,281,10,12,4
"Serie A","2023-11-25","Serie A (Matchweek 13)","Milan","4-2-3-1",1,1.8,"Theo Hernández (P) · 45+2&rsquor;","1","0","Fiorentina","4-2-3-1",0,1.8,"","2","0","https://fbref.com/en/matches/875da0ea/Milan-Fiorentina-November-25-2023-Serie-A","Fiorentina","Away",NA,990,0,0,0,0,21,4,2,0,683,15,9,13,2,2,0.4,35,0,445,555,80.2,64,348,17,25,8
"Serie A","2023-12-23","Serie A (Matchweek 17)","Torino","3-4-3",1,1,"Ivan Ilić · 88&rsquor;","2","0","Udinese","3-5-2",1,0.9,"Oier Zarraga · 81&rsquor;","2","0","https://fbref.com/en/matches/325f62dc/Torino-Udinese-December-23-2023-Serie-A","Torino","Home",NA,990,1,1,0,0,14,4,2,0,653,13,6,10,1,1,0.8,21,2,448,549,81.6,58,408,21,18,4
"Serie A","2023-12-23","Serie A (Matchweek 17)","Torino","3-4-3",1,1,"Ivan Ilić · 88&rsquor;","2","0","Udinese","3-5-2",1,0.9,"Oier Zarraga · 81&rsquor;","2","0","https://fbref.com/en/matches/325f62dc/Torino-Udinese-December-23-2023-Serie-A","Udinese","Away",NA,990,1,1,0,0,10,4,2,0,455,23,11,8,0.9,0.9,0.8,17,2,239,338,70.7,19,200,14,17,11
