"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"Ligue 1","M","FRA",2018,"Regular season","17","Sat",2017-12-09,"20:00","Monaco",3,1.2,"Troyes",2,1.6,8935,"Stade Louis II.","Franck Schneider","","https://fbref.com/en/matches/df0e0e5a/Monaco-Troyes-December-9-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","17","Sun",2017-12-10,"15:00","Amiens",1,2.3,"Lyon",2,1,9130,"Stade de la Licorne","Olivier Thual","","https://fbref.com/en/matches/d10fe8bf/Amiens-Lyon-December-10-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","17","Sun",2017-12-10,"17:00","Nantes",1,2,"Nice",2,0.7,19723,"Stade de la Beaujoire - Louis Fonteneau","Jérôme Miguelgorry","","https://fbref.com/en/matches/cfe6f30a/Nantes-Nice-December-10-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","17","Sun",2017-12-10,"21:00","Marseille",3,2.6,"Saint-Étienne",0,0.3,41943,"Orange Vélodrome","Nicolas Rainville","","https://fbref.com/en/matches/ea981bef/Marseille-Saint-Etienne-December-10-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","18","Fri",2017-12-15,"20:45","Saint-Étienne",0,0.3,"Monaco",4,2.1,23107,"Stade Geoffroy-Guichard","Amaury Delerue","","https://fbref.com/en/matches/a1e5f94e/Saint-Etienne-Monaco-December-15-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","18","Sat",2017-12-16,"17:00","Rennes",1,2.1,"Paris S-G",4,3.6,29194,"Roazhon Park","Antony Gautier","","https://fbref.com/en/matches/bf9b6002/Rennes-Paris-Saint-Germain-December-16-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","18","Sat",2017-12-16,"20:00","Troyes",1,2.5,"Amiens",0,0.7,14505,"Stade de l'Aube","François Letexier","","https://fbref.com/en/matches/3af3d592/Troyes-Amiens-December-16-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","18","Sat",2017-12-16,"20:00","Montpellier",1,0.4,"Metz",3,0.9,14055,"Stade de la Mosson","Benoît Millot","","https://fbref.com/en/matches/861c20a0/Montpellier-Metz-December-16-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","18","Sat",2017-12-16,"20:00","Strasbourg",2,1.7,"Toulouse",1,1.2,23315,"Stade de la Meinau","Jérôme Miguelgorry","","https://fbref.com/en/matches/99d59c46/Strasbourg-Toulouse-December-16-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","18","Sat",2017-12-16,"20:00","Caen",0,0.8,"Guingamp",0,0.3,17173,"Stade Michel d'Ornano","Nicolas Rainville","","https://fbref.com/en/matches/a13852da/Caen-Guingamp-December-16-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","18","Sat",2017-12-16,"20:00","Dijon",3,0.6,"Lille",0,0.7,10634,"Stade Gaston Gérard","Thomas Léonard","","https://fbref.com/en/matches/cf075b8b/Dijon-Lille-December-16-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","18","Sun",2017-12-17,"15:00","Nantes",1,1.3,"Angers",0,0.3,24285,"Stade de la Beaujoire - Louis Fonteneau","Karim Abed","","https://fbref.com/en/matches/c7541f4a/Nantes-Angers-December-17-2017-Ligue-1"
