"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Ligue 1","2019-04-28","Ligue 1 (Matchweek 34)","Lille","4-4-2",59,509,602,85,8,1,20,709,14,18,17,19,3,6,19,53,"1","0","Nîmes","4-3-3",41,318,411,77,14,4,12,504,10,11,6,16,2,9,17,54,"2","0","https://fbref.com/en/matches/a581b115/Lille-Nimes-April-28-2019-Ligue-1"
"Ligue 1","2018-12-02","Ligue 1 (Matchweek 15)","Marseille","4-2-3-1",72,597,698,86,16,13,40,800,16,9,28,11,1,7,31,63,"2","0","Reims","4-3-3",28,191,276,69,12,1,8,400,14,19,14,31,1,12,24,57,"1","0","https://fbref.com/en/matches/c1916b5a/Marseille-Reims-December-2-2018-Ligue-1"
"Ligue 1","2018-09-25","Ligue 1 (Matchweek 7)","Nantes","4-2-3-1",51,385,521,74,12,8,29,636,24,12,19,16,2,7,29,68,"1","0","Nice","3-4-1-2",49,390,497,78,15,8,12,642,17,15,17,25,1,6,20,71,"2","0","https://fbref.com/en/matches/ae183f7d/Nantes-Nice-September-25-2018-Ligue-1"
"Ligue 1","2018-09-29","Ligue 1 (Matchweek 8)","Lyon","4-2-3-1",50,394,479,82,15,10,17,609,20,11,16,16,1,8,17,60,"3","0","Nantes","4-1-4-1",50,388,481,81,12,10,20,610,26,6,19,16,1,10,16,66,"3","0","https://fbref.com/en/matches/3a676c1e/Lyon-Nantes-September-29-2018-Ligue-1"
"Ligue 1","2018-09-15","Ligue 1 (Matchweek 5)","Caen","4-2-3-1",33,170,253,67,15,2,9,381,26,8,14,23,1,11,20,79,"1","2","Lyon","4-2-3-1",67,442,525,84,13,4,19,632,13,6,25,22,2,9,22,40,"2","0","https://fbref.com/en/matches/c67de862/Caen-Lyon-September-15-2018-Ligue-1"
"Ligue 1","2018-10-27","Ligue 1 (Matchweek 11)","Guingamp","5-4-1",36,271,370,73,10,6,20,502,26,9,15,30,0,4,15,77,"1","0","Strasbourg","3-5-2",64,550,659,83,14,5,27,766,13,11,22,13,0,8,44,84,"1","0","https://fbref.com/en/matches/3af7f923/Guingamp-Strasbourg-October-27-2018-Ligue-1"
"Ligue 1","2019-04-06","Ligue 1 (Matchweek 31)","Angers","4-1-4-1",45,370,464,80,11,4,18,561,17,10,6,11,1,1,28,54,"3","0","Rennes","4-4-2",55,476,557,85,13,2,7,662,19,11,13,21,1,5,14,46,"4","0","https://fbref.com/en/matches/d2b5105f/Angers-Rennes-April-6-2019-Ligue-1"
"Ligue 1","2019-01-26","Ligue 1 (Matchweek 22)","Dijon","4-2-3-1",45,342,440,78,15,3,12,569,14,11,20,19,2,13,16,85,"3","0","Monaco","3-5-2",55,432,545,79,9,5,19,653,16,12,21,18,0,6,35,55,"2","1","https://fbref.com/en/matches/038b6a22/Dijon-Monaco-January-26-2019-Ligue-1"
"Ligue 1","2018-09-26","Ligue 1 (Matchweek 7)","Caen","4-2-3-1",52,404,501,81,10,4,17,617,18,8,19,28,2,6,26,91,"2","0","Montpellier","5-3-2",48,377,470,80,14,6,26,596,25,11,17,18,0,5,18,79,"2","1","https://fbref.com/en/matches/b90092b0/Caen-Montpellier-September-26-2018-Ligue-1"
"Ligue 1","2018-12-01","Ligue 1 (Matchweek 15)","Guingamp","4-2-3-1",35,293,392,75,6,4,31,482,15,10,10,14,0,8,26,90,"1","0","Nice","3-5-2",65,636,727,87,11,1,11,840,13,8,15,26,0,12,23,67,"1","0","https://fbref.com/en/matches/b4ad6369/Guingamp-Nice-December-1-2018-Ligue-1"
