Matchday,Team,Home_Away,Formation,Player_Num,Player_Name,Starting,PlayerURL,Nation,Pos,Age,Min,Gls,Ast,CrdY,CrdR,MatchURL
4/18/2021,Strasbourg,Away,4-1-2-1-2,17,Jean-Ricner Bellegarde,Bench,https://fbref.com/en/players/10f0fdd3/Jean-Ricner-Bellegarde,FRA,RM,22-295,24,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,18,Mahame Siby,Bench,https://fbref.com/en/players/6d075c67/Mahame-Siby,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,20,Kévin Zohi,Bench,https://fbref.com/en/players/775185ae/Kevin-Zohi,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,21,Mehdi Chahiri,Bench,https://fbref.com/en/players/1787195f/Mehdi-Chahiri,MAR,CM,24-267,15,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,23,Lionel Carole,Bench,https://fbref.com/en/players/5b5724d2/Lionel-Carole,FRA,LB,30-006,36,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,31,Dion Moise Sahi,Bench,https://fbref.com/en/players/cdc4458b/Dion-Moise-Sahi,CIV,FW,19-119,15,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,33,Marvin Elimbi,Bench,https://fbref.com/en/players/672f3db0/Marvin-Elimbi,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,1,Matthieu Dreyer,Pitch,https://fbref.com/en/players/fbf83734/Matthieu-Dreyer,FRA,GK,31-323,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,2,Andrew Gravillon,Pitch,https://fbref.com/en/players/49136c42/Andrew-Gravillon,GLP,CB,22-364,90,0,1,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,6,Laurent Abergel,Pitch,https://fbref.com/en/players/31626657/Laurent-Abergel,FRA,CM,28-005,90,1,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
