League_Name,Team_Name,Season,Player_Name,Scores
La Liga,Las Palmas,2024,Munir El Haddadi,3
La Liga,Betis,2024,Pablo Fornals,3
La Liga,Real Sociedad,2024,Umar Sadiq,3
La Liga,Real Sociedad,2024,André Silva,3
La Liga,Villarreal,2024,Jorge Cuenca,3
La Liga,Villarreal,2024,Daniel Parejo,3
La Liga,Villarreal,2024,Gonçalo Guedes,3
La Liga,Real Madrid,2024,Lucas Vázquez,3
La Liga,Real Madrid,2024,Aurélien Tchouaméni,3
La Liga,Rayo Vallecano,2024,Sergio Camello,3
La Liga,Rayo Vallecano,2024,Florian Lejeune,3
La Liga,Mallorca,2024,Cyle Larin,3
La Liga,Mallorca,2024,Antonio Raillo,3
La Liga,Mallorca,2024,Antonio Sánchez,3
La Liga,Granada,2024,Ricard Sánchez,3
La Liga,Osasuna,2024,Moi Gómez,3
La Liga,Osasuna,2024,Rubén García,3
La Liga,Cádiz,2024,Juanmi,3
La Liga,Cádiz,2024,Rubén Alcaraz,3
La Liga,Almería,2024,Luka Romero,3
La Liga,Almería,2024,Adri Embarba,3
La Liga,Almería,2024,Anthony Lozano,3
La Liga,Almería,2024,Largie Ramazani,3
Fußball-Bundesliga,Bayern Munich,2024,Serge Gnabry,3
Fußball-Bundesliga,Bayern Munich,2024,Kingsley Coman,3
Fußball-Bundesliga,Bayern Munich,2024,Raphaël Guerreiro,3
Fußball-Bundesliga,Mainz 05,2024,Sepp van den Berg,3
Fußball-Bundesliga,Wolfsburg,2024,Kevin Paredes,3
Fußball-Bundesliga,Hoffenheim,2024,Robert Skov,3
Fußball-Bundesliga,Hoffenheim,2024,Pavel Kadeřábek,3
Fußball-Bundesliga,Freiburg,2024,Roland Sallai,3
Fußball-Bundesliga,M'Gladbach,2024,Ko Itakura,3
Fußball-Bundesliga,M'Gladbach,2024,Franck Honorat,3
Fußball-Bundesliga,Leverkusen,2024,Granit Xhaka,3
Fußball-Bundesliga,Leverkusen,2024,Josip Stanišić,3
Fußball-Bundesliga,Werder Bremen,2024,Jens Stage,3
Fußball-Bundesliga,Werder Bremen,2024,Mitchell Weiser,3
Fußball-Bundesliga,Eint Frankfurt,2024,Mario Götze,3
Fußball-Bundesliga,Eint Frankfurt,2024,Niels Nkounkou,3
Fußball-Bundesliga,Augsburg,2024,Arne Engels,3
Fußball-Bundesliga,Dortmund,2024,Mats Hummels,3
Fußball-Bundesliga,Dortmund,2024,Karim Adeyemi,3
Fußball-Bundesliga,Köln,2024,Steffen Tigges,3
Fußball-Bundesliga,Köln,2024,Luca Waldschmidt,3
Fußball-Bundesliga,Union Berlin,2024,Kevin Volland,3
Fußball-Bundesliga,Union Berlin,2024,Yorbe Vertessen,3
Fußball-Bundesliga,Bochum,2024,Maximilian Wittek,3
Fußball-Bundesliga,Bochum,2024,Gonçalo Paciência,3
Fußball-Bundesliga,Darmstadt 98,2024,Tobias Kempe,3
Fußball-Bundesliga,Darmstadt 98,2024,Marvin Mehlem,3
Fußball-Bundesliga,Heidenheim,2024,Kevin Sessa,3
Fußball-Bundesliga,Heidenheim,2024,Nikola Dovedan,3
Fußball-Bundesliga,Heidenheim,2024,Marvin Pieringer,3
Serie A,Hellas Verona,2024,Thomas Henry,3
Serie A,Hellas Verona,2024,Darko Lazović,3
Serie A,Hellas Verona,2024,Karol Świderski,3
Serie A,Hellas Verona,2024,Federico Bonazzoli,3
Serie A,Atalanta,2024,Aleksei Miranchuk,3
Serie A,Inter,2024,Francesco Acerbi,3
Serie A,Lazio,2024,Daichi Kamada,3
Serie A,Lazio,2024,Gustav Isaksen,3
Serie A,Cagliari,2024,Yerry Mina,3
Serie A,Cagliari,2024,Eldor Shomurodov,3
Serie A,Cagliari,2024,Gianluca Lapadula,3
Serie A,Roma,2024,Sardar Azmoun,3
Serie A,Roma,2024,Andrea Belotti,3
Serie A,Roma,2024,Bryan Cristante,3
Serie A,Roma,2024,Leandro Paredes,3
Serie A,Roma,2024,Stephan El Shaarawy,3
Serie A,Fiorentina,2024,Andrea Belotti,3
Serie A,Fiorentina,2024,Jonathan Ikone,3
Serie A,Fiorentina,2024,Cristiano Biraghi,3
Serie A,Fiorentina,2024,Rolando Mandragora,3
Serie A,Milan,2024,Matteo Gabbia,3
Serie A,Milan,2024,Ismaël Bennacer,3
Serie A,Milan,2024,Tijjani Reijnders,3
Serie A,Napoli,2024,Piotr Zieliński,3
Serie A,Torino,2024,Nikola Vlašić,3
Serie A,Torino,2024,Nemanja Radonjić,3
Serie A,Torino,2024,Alessandro Buongiorno,3
Serie A,Empoli,2024,Francesco Caputo,3
Serie A,Frosinone,2024,Kaio Jorge,3
Serie A,Frosinone,2024,Abdou Harroui,3
Serie A,Lecce,2024,Remi Oudin,3
Serie A,Salernitana,2024,Simeon Nwankwo,3
Serie A,Salernitana,2024,Grigoris Kastanos,3
Ligue 1,Monaco,2024,Eliesse Ben Seghir,2
Ligue 1,Paris S-G,2024,Carlos Soler,2
Ligue 1,Paris S-G,2024,Warren Zaire-Emery,2
Ligue 1,Lyon,2024,Orel Mangala,2
Ligue 1,Lyon,2024,Mama Samba Baldé,2
Ligue 1,Metz,2024,Joel Asoro,2
Ligue 1,Metz,2024,Ismaël Traoré,2
Ligue 1,Metz,2024,Papa Amadou Diallo,2
Ligue 1,Montpellier,2024,Modibo Sagnan,2
Ligue 1,Lille,2024,Leny Yoro,2
Ligue 1,Lille,2024,Rémy Cabella,2
Ligue 1,Lille,2024,Hákon Arnar Haraldsson,2
Ligue 1,Marseille,2024,Chancel Mbemba,2
Ligue 1,Marseille,2024,Azzedine Ounahi,2
Ligue 1,Marseille,2024,Leonardo Balerdi,2
Ligue 1,Rennes,2024,Arthur Theate,2
Ligue 1,Nantes,2024,Eray Cömert,2
Ligue 1,Nantes,2024,Abdoul Kader Bamba,2
Ligue 1,Nantes,2024,Jean-Charles Castelletto,2
Ligue 1,Nice,2024,Morgan Sanson,2
Ligue 1,Nice,2024,Hicham Boudaoui,2
Ligue 1,Strasbourg,2024,Abakar Sylla,2
Ligue 1,Strasbourg,2024,Jérémy Sebas,2
Ligue 1,Strasbourg,2024,Frederic Guilbert,2
Ligue 1,Strasbourg,2024,Jean-Ricner Bellegarde,2
Ligue 1,Toulouse,2024,Christian Mawissa,2
Ligue 1,Toulouse,2024,Rasmus Nicolaisen,2
Ligue 1,Reims,2024,Sergio Akieme,2
Ligue 1,Brest,2024,Kenny Lala,2
