Match_Goal_Key,Match,Team,Player_Name,Minute,Type_Of_Goal
152899,10810,129,Erick Pulgar,9,Penalty
152903,10810,134,Dries Mertens,38,Normal
152904,10810,134,Lorenzo Insigne,42,Penalty
152905,10810,129,Nikola Milenković,51,Normal
152906,10810,134,José Callejón,56,Normal
152908,10810,129,Kevin-Prince Boateng,65,Normal
152909,10810,134,Lorenzo Insigne,67,Normal
152918,10856,119,Ilija Nestorovski,29,Normal
152923,10856,122,Manolo Gabbiadini,45+6,Normal
152926,10856,122,Gastón Ramírez,75,Penalty
152933,11126,119,Stefano Okaka,53,Normal
152945,10981,116,Cristiano Ronaldo,39,Normal
152949,10981,116,Aaron Ramsey,60,Normal
152950,10981,133,Andrea Petagna,69,Penalty
152960,10870,117,Samuel Di Carmine,23,Normal
152964,10870,118,Ruslan Malinovskyi,44,Normal
152967,10870,117,Samuel Di Carmine,57,Normal
152969,10870,118,Luis Muriel,64,Penalty
152975,10870,118,Berat Djimsiti,90+3,Normal
152976,11168,125,Hamed Junior Traorè,25,Normal
152983,11168,125,Francesco Caputo,71,Normal
152989,10975,129,Morten Thorsby,8,OG
152990,10975,129,Dušan Vlahović,18,Penalty
152996,10975,129,Federico Chiesa,40,Penalty
153002,10975,129,Dušan Vlahović,57,Normal
153006,10975,129,Federico Chiesa,78,Normal
153009,10975,122,Manolo Gabbiadini,90,Normal
153010,10959,121,Riccardo Orsolini,16,Normal
153011,10959,128,Stefano Denswil,22,OG
153012,10959,121,Musa Barrow,26,Normal
153014,10959,121,Musa Barrow,51,Normal
153020,10959,128,Henrikh Mkhitaryan,72,Normal
153028,10841,117,Valerio Verre,19,Penalty
153035,10841,120,Matías Vecino,65,Normal
153037,10841,120,Nicolò Barella,83,Normal
153042,10945,117,Paweł Dawidowicz,19,Normal
153045,10945,117,Matteo Pessina,34,Normal
153053,10945,117,Giampaolo Pazzini,87,Penalty
153056,11114,125,Hamed Junior Traorè,26,Normal
153057,11114,125,Domenico Berardi,39,Normal
153062,11114,125,Francesco Caputo,66,Normal
153067,11114,125,Giacomo Raspadori,74,Normal
153068,11114,125,Francesco Caputo,77,Normal
153072,11138,124,Ciro Immobile,8,Normal
153077,11138,124,Adam Marušić,67,Normal
153084,10920,131,Hakan Çalhanoğlu,12,Normal
153103,11020,116,Paulo Dybala,50,Normal
153104,11020,116,Cristiano Ronaldo,56,Normal
153109,11020,116,Douglas Costa,73,Normal
153113,11020,130,Andrea Pinamonti,76,Normal
153125,10811,119,Rodrigo Becão,72,Normal
153130,10974,137,Gervinho,25,Normal
153145,10935,121,Mattia Bani,20,Normal
153157,10935,117,Fabio Borini,81,Normal
153160,11140,139,Alfredo Donnarumma,4,Normal
153163,11140,116,Jhon Chancellor,40,OG
153166,11140,116,Miralem Pjanić,63,Normal
153173,10880,137,Dejan Kulusevski,4,Normal
153179,10880,134,Arkadiusz Milik,64,Normal
153185,10880,137,Gervinho,90+3,Normal
153191,11130,139,Rômulo,57,Normal
153203,10817,139,Alfredo Donnarumma,54,Penalty
153223,10954,117,Davide Faraoni,13,Normal
